# energy,a_a,pi0_pi0_pi0,pi_pi_pi0,pi_pi_a,mu_mu
5.478620000000000e-02,0.000000000000000e+00,0.000000000000000e+00,1.662077083472425e-01,3.064509754870090e-02,4.972537312692554e-06
6.012778686605567e-02,0.000000000000000e+00,0.000000000000000e+00,1.514180792266811e-01,2.791839806341381e-02,4.530317749076586e-06
6.599017185732570e-02,0.000000000000000e+00,0.000000000000000e+00,1.379423270427109e-01,2.543393235001178e-02,4.127383928603986e-06
7.242413214808957e-02,0.000000000000000e+00,0.000000000000000e+00,1.256637312729558e-01,2.317018115427316e-02,3.760245831114087e-06
7.948539562443424e-02,0.000000000000000e+00,0.000000000000000e+00,1.144759405904463e-01,2.110753694538547e-02,3.425723481840138e-06
8.723512357254375e-02,0.000000000000000e+00,0.000000000000000e+00,1.042820516991513e-01,1.922813408486184e-02,3.120919407982179e-06
9.574044042850097e-02,0.000000000000000e+00,0.000000000000000e+00,9.499377000380332e-02,1.751569408288928e-02,2.843193542175403e-06
1.050750151780413e-01,0.000000000000000e+00,0.000000000000000e+00,8.653064484413303e-02,1.595538460179163e-02,2.590140355479577e-06
1.153196994420645e-01,0.000000000000000e+00,0.000000000000000e+00,7.881937266947328e-02,1.453369098536121e-02,2.359568021826037e-06
1.265632277746960e-01,0.000000000000000e+00,0.000000000000000e+00,7.179316211815226e-02,1.323829920130580e-02,2.149479433454296e-06
1.389029862395454e-01,0.000000000000000e+00,0.000000000000000e+00,6.539115550228816e-02,1.205798918291216e-02,1.958054902902531e-06
1.524458559212000e-01,0.000000000000000e+00,0.000000000000000e+00,5.955790168715006e-02,1.098253764609992e-02,1.783636401724316e-06
1.673091386780493e-01,0.000000000000000e+00,0.000000000000000e+00,5.424287579940156e-02,1.000262954011024e-02,1.624713199414158e-06
1.836215731548656e-01,0.000000000000000e+00,0.000000000000000e+00,4.940004160415213e-02,9.109777364853813e-03,1.479908778152268e-06
2.015244498553579e-01,0.000000000000000e+00,0.000000000000000e+00,4.498745276031182e-02,8.296247656078701e-03,1.347968910029323e-06
2.211728349329226e-01,0.000000000000000e+00,0.000000000000000e+00,4.096688950048729e-02,7.554994001602205e-03,1.227750793480633e-06
2.427369132994820e-01,0.000000000000000e+00,0.000000000000000e+00,3.730352758848121e-02,6.879596008418621e-03,1.118213154833264e-06
2.664034626857765e-01,0.000000000000000e+00,0.000000000000000e+00,3.396563668702442e-02,6.264203692037070e-03,1.018407229228731e-06
2.923774714207151e-01,0.000000000000000e+00,0.000000000000000e+00,3.092430552309890e-02,5.703486806366694e-03,9.274685428002774e-07
3.208839139422162e-01,0.000000000000000e+00,0.000000000000000e+00,2.815319147030450e-02,5.192588675257342e-03,8.446094249234225e-07
3.521696994181623e-01,0.000000000000000e+00,0.000000000000000e+00,2.562829237923307e-02,4.727084125792722e-03,7.691121856815985e-07
3.865058103554938e-01,0.000000000000000e+00,0.000000000000000e+00,2.332773867939878e-02,4.302941158957678e-03,7.003228994498538e-07
4.241896497210477e-01,0.000000000000000e+00,0.000000000000000e+00,2.123160395201534e-02,3.916486025669397e-03,6.376457407489102e-07
4.655476169037818e-01,0.000000000000000e+00,0.000000000000000e+00,1.932173233269964e-02,3.564371405654127e-03,5.805378233045857e-07
5.109379348301346e-01,0.000000000000000e+00,0.000000000000000e+00,1.758158124904000e-02,3.243547413521784e-03,5.285044976052386e-07
5.607537527196443e-01,0.000000000000000e+00,0.000000000000000e+00,1.599607813072712e-02,2.951235180873255e-03,4.810950662201410e-07
6.154265513554081e-01,0.000000000000000e+00,0.000000000000000e+00,1.455148985094328e-02,2.684902785581201e-03,4.378988797589580e-07
6.754298803642095e-01,0.000000000000000e+00,0.000000000000000e+00,1.323530376793987e-02,2.442243319707724e-03,3.985417796480344e-07
7.412834598768425e-01,0.000000000000000e+00,0.000000000000000e+00,1.203611933616450e-02,2.221154906037240e-03,3.626828569016006e-07
8.135576820952557e-01,0.000000000000000e+00,0.000000000000000e+00,1.094354934779513e-02,2.019722490070527e-03,3.300114988011878e-07
8.928785517569354e-01,0.000000000000000e+00,0.000000000000000e+00,9.948129948891575e-03,1.836201249691948e-03,3.002446978882590e-07
9.799331082884645e-01,0.000000000000000e+00,0.000000000000000e+00,9.041238650304382e-03,1.669001478719299e-03,2.731245999448344e-07
1.075475376612363e+00,0.000000000000000e+00,0.000000000000000e+00,8.215019622644119e-03,1.516674813295376e-03,2.484162697044303e-07
1.180332898150248e+00,0.000000000000000e+00,0.000000000000000e+00,7.462315627608019e-03,1.377901681692674e-03,2.259056549188619e-07
1.295413898590739e+00,0.000000000000000e+00,0.000000000000000e+00,6.776605995329014e-03,1.251479868677684e-03,2.053977311217656e-07
1.421715154505883e+00,0.000000000000000e+00,0.000000000000000e+00,6.151950109650679e-03,1.136314095210614e-03,1.867148109920487e-07
1.560330626952975e+00,0.000000000000000e+00,0.000000000000000e+00,5.582935910790852e-03,1.031406523023404e-03,1.696950036435866e-07
1.712460936841897e+00,0.000000000000000e+00,0.000000000000000e+00,5.064632968147653e-03,9.358481015993494e-04,1.541908104639537e-07
1.879423764139064e+00,0.000000000000000e+00,0.000000000000000e+00,4.592549715399041e-03,8.488106823412124e-04,1.400678453064422e-07
2.062665260980936e+00,0.000000000000000e+00,0.000000000000000e+00,4.162594475892359e-03,7.695398313246511e-04,1.272036679169026e-07
2.263772577551990e+00,0.000000000000000e+00,0.000000000000000e+00,3.771039938926613e-03,6.973482780486124e-04,1.154867204602180e-07
2.484487609220342e+00,0.000000000000000e+00,0.000000000000000e+00,3.414490777184215e-03,6.316099430679921e-04,1.048153579102014e-07
2.726722084002119e+00,0.000000000000000e+00,0.000000000000000e+00,3.089854122536255e-03,5.717544923766419e-04,9.509696389083704e-08
2.992574121034979e+00,0.000000000000000e+00,0.000000000000000e+00,2.794312641972981e-03,5.172623709483981e-04,8.624714431555087e-08
3.284346403482358e+00,0.000000000000000e+00,0.000000000000000e+00,2.525299977733348e-03,4.676602719862526e-04,7.818899187436787e-08
3.604566123273446e+00,0.000000000000000e+00,0.000000000000000e+00,2.280478336049926e-03,4.225170022208329e-04,7.085241507699470e-08
3.956006870430699e+00,0.000000000000000e+00,0.000000000000000e+00,2.057718027513053e-03,3.814397070863613e-04,6.417352618496687e-08
4.341712656579741e+00,0.000000000000000e+00,0.000000000000000e+00,1.855078779122931e-03,3.562735841545376e-04,5.809408297221226e-08
4.765024280721841e+00,0.000000000000000e+00,0.000000000000000e+00,1.670792653892032e-03,3.234720808298554e-04,5.256097985848283e-08
5.229608265636658e+00,0.000000000000000e+00,0.000000000000000e+00,1.503248428670518e-03,2.938698518982334e-04,4.752578458789479e-08
5.739488615548515e+00,0.000000000000000e+00,0.000000000000000e+00,1.350977295043072e-03,2.672067890680708e-04,4.294431730979565e-08
6.299081670125949e+00,0.000000000000000e+00,0.000000000000000e+00,1.212639762133534e-03,2.432476381745637e-04,3.877626971724713e-08
6.913234356703164e+00,0.000000000000000e+00,0.000000000000000e+00,1.087013654560351e-03,2.217798897620912e-04,3.498486291496468e-08
7.587266172045901e+00,0.000000000000000e+00,0.000000000000000e+00,9.729831144783349e-04,2.026118702042299e-04,3.153654416551857e-08
8.327015257287607e+00,0.000000000000000e+00,0.000000000000000e+00,8.695285349347803e-04,1.855710249241375e-04,2.840072530503596e-08
9.138888965114988e+00,0.000000000000000e+00,0.000000000000000e+00,7.757173747797118e-04,1.705023895490322e-04,2.554957218940603e-08
1.002991935719182e+01,0.000000000000000e+00,0.000000000000000e+00,6.906958367800112e-04,1.572673576198229e-04,2.295788211105855e-08
1.100782411251292e+01,0.000000000000000e+00,0.000000000000000e+00,6.136814365726836e-04,1.457457844146730e-04,2.060369952863444e-08
1.208107337424762e+01,0.000000000000000e+00,0.000000000000000e+00,5.439564345815487e-04,1.358239529722736e-04,1.846974284096621e-08
1.325896311406780e+01,0.000000000000000e+00,0.000000000000000e+00,4.808618180694249e-04,1.274062046789502e-04,1.653700455822142e-08
1.455169564940738e+01,0.000000000000000e+00,0.000000000000000e+00,4.237925554280396e-04,1.204109638755570e-04,1.478749486107057e-08
1.597046801105528e+01,0.000000000000000e+00,0.000000000000000e+00,3.721965083979040e-04,1.147702041013887e-04,1.320481297844066e-08
1.752756892647951e+01,0.000000000000000e+00,0.000000000000000e+00,3.255810001075410e-04,1.104286357058525e-04,1.177400552141534e-08
1.923648525890572e+01,0.000000000000000e+00,0.000000000000000e+00,2.835144219405909e-04,1.073428478459575e-04,1.048143742636651e-08
2.111201882407439e+01,0.000000000000000e+00,0.000000000000000e+00,2.456202253788494e-04,1.054803670431046e-04,9.314674402094898e-09
2.317041459648780e+01,0.000000000000000e+00,9.744818460082329e-05,2.115698662130139e-04,1.048217395411158e-04,8.262375877237909e-09
2.542950141560766e+01,0.000000000000000e+00,1.969651847390484e-03,2.966859660388217e-04,1.053479050799597e-04,7.314197537122705e-09
2.790884641073332e+01,0.000000000000000e+00,4.657443583762884e-03,6.099438029128949e-04,1.070505249539725e-04,6.460702624350513e-09
3.062992448211514e+01,0.000000000000000e+00,7.802202570922384e-03,1.207301772252213e-03,1.099279884693984e-04,5.693281255335645e-09
3.361630430626689e+01,0.000000000000000e+00,9.495905538047545e-03,1.867230166490610e-03,1.139872910056436e-04,5.004077076313708e-09
3.689385247656684e+01,0.000000000000000e+00,1.214907870891115e-02,2.414170067791986e-03,1.192363488966321e-04,4.385920647353348e-09
4.049095754731502e+01,0.000000000000000e+00,1.398341602537501e-02,3.415043336633690e-03,1.256887740722552e-04,3.832269001857257e-09
4.443877592180996e+01,0.000000000000000e+00,1.585876150703443e-02,3.785122148700078e-03,1.333658062033421e-04,3.337150881882477e-09
4.877150171420901e+01,0.000000000000000e+00,1.680997864671441e-02,4.606397084064965e-03,1.422851388267658e-04,2.895117195994654e-09
5.352666292258684e+01,0.000000000000000e+00,1.776659151704012e-02,5.045893102640203e-03,1.524700032833626e-04,2.501196285486273e-09
5.874544647850202e+01,0.000000000000000e+00,1.822374494094434e-02,5.259182456179078e-03,1.639360818689204e-04,2.150853615171659e-09
6.447305498849434e+01,0.000000000000000e+00,1.822374494094434e-02,5.251995714331919e-03,1.766938668910179e-04,1.839955524167750e-09
7.075909825743844e+01,0.000000000000000e+00,1.822374494094434e-02,5.246156954146339e-03,1.907372052892576e-04,1.564736676092225e-09
