# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.700548996716775623e-26
6.933185252525251485e+01,1.769120539568567277e-26
7.117540505050504862e+01,1.839007957759892783e-26
7.301895757575756818e+01,1.910206825522673606e-26
7.486251010101010195e+01,1.982712815852499078e-26
7.670606262626262151e+01,2.056514155796225675e-26
7.854961515151515528e+01,2.131616487306924288e-26
8.039316767676767483e+01,2.208012252430356798e-26
8.223672020202019439e+01,2.285705565357005257e-26
8.408027272727272816e+01,2.364705748692633173e-26
8.592382525252524772e+01,2.444973615168709916e-26
8.776737777777778149e+01,2.526519241777102772e-26
8.961093030303030105e+01,2.609341658738079508e-26
9.145448282828283482e+01,2.693437545153724513e-26
9.329803535353535437e+01,2.778803628939139242e-26
9.514158787878787393e+01,2.865436718070878026e-26
9.698514040404040770e+01,2.953333697474209471e-26
9.882869292929292726e+01,3.042491525907095026e-26
1.006722454545454468e+02,3.132907232998044809e-26
1.025157979797979806e+02,3.224577916426312147e-26
1.043593505050505144e+02,3.317500739239616926e-26
1.062029030303030339e+02,3.681821039038730537e-26
1.080464555555555535e+02,4.040693441118805260e-26
1.098900080808080872e+02,4.292878495283736093e-26
1.117335606060606068e+02,4.510947053222127752e-26
1.135771131313131264e+02,4.711317984132975539e-26
1.154206656565656601e+02,4.889638541299481316e-26
1.172642181818181939e+02,5.050557247968947582e-26
1.191077707070707135e+02,5.202247425352405299e-26
1.209513232323232330e+02,5.350026118080902649e-26
1.227948757575757668e+02,5.499908336592259654e-26
1.246384282828282863e+02,5.650698159031321353e-26
1.264819808080808059e+02,5.801591473975646458e-26
1.283255333333333397e+02,5.952525380192037020e-26
1.301690858585858734e+02,6.103573283762673103e-26
1.320126383838384072e+02,6.254838083635571314e-26
1.338561909090909126e+02,6.406423961968277254e-26
1.356997434343434463e+02,6.558426313338014043e-26
1.375432959595959801e+02,6.710932251884226315e-26
1.393868484848484854e+02,6.864018371775159484e-26
1.412304010101010192e+02,7.019135951220918552e-26
1.430739535353535530e+02,7.176364057838677466e-26
1.449175060606060583e+02,7.335131522751281787e-26
1.467610585858585921e+02,7.495279233329739575e-26
1.486046111111111259e+02,7.656701092010940845e-26
1.504481636363636312e+02,7.819272846376392309e-26
1.522917161616161650e+02,7.982952491308510823e-26
1.541352686868686988e+02,8.147713774236958703e-26
1.559788212121212041e+02,8.313612257644195561e-26
1.578223737373737663e+02,8.480649218437184750e-26
1.596659262626262716e+02,8.648795909285334329e-26
1.615094787878788054e+02,8.818045473910229473e-26
1.633530313131313392e+02,8.988391843104277420e-26
1.651965838383838445e+02,9.159826855782344242e-26
1.670401363636363783e+02,9.332360660325588169e-26
1.688836888888889121e+02,9.505991576967998757e-26
1.707272414141414174e+02,9.680706032508428168e-26
1.725707939393939512e+02,9.856532281220348549e-26
1.744143464646464849e+02,1.003345537338831425e-25
1.762578989898989903e+02,1.021147021212587635e-25
1.781014515151515241e+02,1.039060678263051717e-25
1.799450040404040578e+02,1.057084851367056416e-25
1.817885565656565632e+02,1.075220316999521391e-25
1.836321090909091254e+02,1.093465654822054223e-25
1.854756616161616307e+02,1.111824355101191579e-25
1.873192141414141361e+02,1.130295167961403555e-25
1.891627666666666983e+02,1.148878460293094165e-25
1.910063191919192036e+02,1.167573746030011248e-25
1.928498717171717374e+02,1.186380693160372417e-25
1.946934242424242711e+02,1.205302202192255005e-25
1.965369767676767765e+02,1.224337017571919719e-25
1.983805292929292818e+02,1.243485451800772861e-25
2.002240818181818440e+02,1.262748177800512596e-25
2.020676343434343494e+02,1.282124143027993035e-25
2.039111868686869116e+02,1.301614798047775176e-25
2.057547393939394169e+02,1.321218094329265528e-25
2.075982919191919223e+02,1.340938008644345517e-25
2.094418444444444845e+02,1.360772444177305552e-25
2.112853969696969898e+02,1.380722670686520550e-25
2.131289494949494951e+02,1.400786952601522547e-25
2.149725020202020573e+02,1.420967112879520408e-25
2.168160545454545627e+02,1.441262703683490655e-25
2.186596070707070680e+02,1.461673894997855596e-25
2.205031595959596302e+02,1.482200775743584038e-25
2.223467121212121356e+02,1.502843588207962948e-25
2.241902646464646409e+02,1.523602284393680176e-25
2.260338171717172031e+02,1.544477009049555538e-25
2.278773696969697085e+02,1.565467846076886097e-25
2.297209222222222706e+02,1.586574890020020129e-25
2.315644747474747760e+02,1.607798182574451455e-25
2.334080272727272813e+02,1.629137753543796319e-25
2.352515797979798435e+02,1.650593691085103270e-25
2.370951323232323489e+02,1.672166118216110911e-25
2.389386848484848542e+02,1.693855039428674046e-25
2.407822373737374164e+02,1.715660422074043655e-25
2.426257898989899218e+02,1.737582351215783857e-25
2.444693424242424271e+02,1.759620956636335776e-25
2.463128949494949893e+02,1.781776114228752791e-25
2.481564474747474947e+02,1.804050618055332507e-25
2.500000000000000000e+02,1.826439405256804471e-25
