# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,7.278202799488724833e-28
7.117540505050504862e+01,9.111270950218246998e-28
7.301895757575756818e+01,8.938605985876358104e-28
7.486251010101010195e+01,9.965171517349848579e-28
7.670606262626262151e+01,1.085701370993376870e-27
7.854961515151515528e+01,1.096707318475438227e-27
8.039316767676767483e+01,1.183754769482529125e-27
8.223672020202019439e+01,1.270447592308190414e-27
8.408027272727272816e+01,1.358638908483328735e-27
8.592382525252524772e+01,1.449729907576086183e-27
8.776737777777778149e+01,1.544848834907342788e-27
8.961093030303030105e+01,1.644716296387281805e-27
9.145448282828283482e+01,1.748121929575244952e-27
9.329803535353535437e+01,1.847984883953497761e-27
9.514158787878787393e+01,1.928980050140301080e-27
9.698514040404040770e+01,1.973892044698226465e-27
9.882869292929292726e+01,1.976067880764214301e-27
1.006722454545454468e+02,1.944675144195620721e-27
1.025157979797979806e+02,1.911057203186106589e-27
1.043593505050505144e+02,1.862505594438036027e-27
1.062029030303030339e+02,1.828477483322931581e-27
1.080464555555555535e+02,1.821516605540075600e-27
1.098900080808080872e+02,1.831261293176992712e-27
1.117335606060606068e+02,1.867143604957867399e-27
1.135771131313131264e+02,1.933041047003234214e-27
1.154206656565656601e+02,2.022578747768450823e-27
1.172642181818181939e+02,2.142567253950831327e-27
1.191077707070707135e+02,2.288579009497161783e-27
1.209513232323232330e+02,2.377886759241405250e-27
1.227948757575757668e+02,2.264889522298778440e-27
1.246384282828282863e+02,2.208361505761969393e-27
1.264819808080808059e+02,2.133430429822593969e-27
1.283255333333333397e+02,2.104452237832929880e-27
1.301690858585858734e+02,2.087666678540655453e-27
1.320126383838384072e+02,2.061562927085311788e-27
1.338561909090909126e+02,2.070596466231602275e-27
1.356997434343434463e+02,2.091256512783465008e-27
1.375432959595959801e+02,2.106992000741818318e-27
1.393868484848484854e+02,2.151720899145502676e-27
1.412304010101010192e+02,7.440122141448888390e-25
1.430739535353535530e+02,1.788647772089494550e-24
1.449175060606060583e+02,1.834564341402791085e-24
1.467610585858585921e+02,1.863883349325496659e-24
1.486046111111111259e+02,1.887530448986059811e-24
1.504481636363636312e+02,1.908223312795116687e-24
1.522917161616161650e+02,1.925911623721748803e-24
1.541352686868686988e+02,1.940354936025370638e-24
1.559788212121212041e+02,1.950748225517544675e-24
1.578223737373737663e+02,1.957589746032250852e-24
1.596659262626262716e+02,1.962151933386106433e-24
1.615094787878788054e+02,1.965686572490689991e-24
1.633530313131313392e+02,1.969159760115583057e-24
1.651965838383838445e+02,1.973213015114107067e-24
1.670401363636363783e+02,1.978167027914056372e-24
1.688836888888889121e+02,1.984071370824320751e-24
1.707272414141414174e+02,1.990974412974431309e-24
1.725707939393939512e+02,1.998679299456975041e-24
1.744143464646464849e+02,2.007043001303065326e-24
1.762578989898989903e+02,2.015950290166366459e-24
1.781014515151515241e+02,2.025312959766782390e-24
1.799450040404040578e+02,2.035078481928876825e-24
1.817885565656565632e+02,2.045209594025690914e-24
1.836321090909091254e+02,2.055686236787657550e-24
1.854756616161616307e+02,2.066491324385597621e-24
1.873192141414141361e+02,2.077615132939159744e-24
1.891627666666666983e+02,2.089066424522321198e-24
1.910063191919192036e+02,2.100799725569902449e-24
1.928498717171717374e+02,2.112826981718316887e-24
1.946934242424242711e+02,2.125144157877161359e-24
1.965369767676767765e+02,2.137744326549776384e-24
1.983805292929292818e+02,2.150620624664219293e-24
2.002240818181818440e+02,1.544451092969458586e-24
2.020676343434343494e+02,8.368182304098225553e-26
2.039111868686869116e+02,3.748591413421687194e-26
2.057547393939394169e+02,2.426564932517514435e-26
2.075982919191919223e+02,1.846812649311939933e-26
2.094418444444444845e+02,1.515761117634209655e-26
2.112853969696969898e+02,1.334627726042668847e-26
2.131289494949494951e+02,1.204653806011970471e-26
2.149725020202020573e+02,1.121942966618269538e-26
2.168160545454545627e+02,1.062719994351916391e-26
2.186596070707070680e+02,1.019844161427510226e-26
2.205031595959596302e+02,9.887211020914494959e-27
2.223467121212121356e+02,9.663439857309450040e-27
2.241902646464646409e+02,9.506820621057187552e-27
2.260338171717172031e+02,9.402491269027395689e-27
2.278773696969697085e+02,9.352229745848451287e-27
2.297209222222222706e+02,9.321230720754459484e-27
2.315644747474747760e+02,9.318410207471049367e-27
2.334080272727272813e+02,9.345505395088998791e-27
2.352515797979798435e+02,9.388834451363454889e-27
2.370951323232323489e+02,9.446173072892242727e-27
2.389386848484848542e+02,9.520544044327214101e-27
2.407822373737374164e+02,9.604263339334153295e-27
2.426257898989899218e+02,9.701556920350713806e-27
2.444693424242424271e+02,9.809100441169223762e-27
2.463128949494949893e+02,9.924655565902238783e-27
2.481564474747474947e+02,1.004912449998313846e-26
2.500000000000000000e+02,1.018200864244316248e-26
