# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,3.881429305742231538e-27
7.117540505050504862e+01,9.680692705921222123e-28
7.301895757575756818e+01,5.377418842752328958e-28
7.486251010101010195e+01,4.738033975350463960e-28
7.670606262626262151e+01,4.297261989935483292e-28
7.854961515151515528e+01,4.361103973629975614e-28
8.039316767676767483e+01,4.570692304706661081e-28
8.223672020202019439e+01,6.677292312258713166e-28
8.408027272727272816e+01,7.956583570729936136e-27
8.592382525252524772e+01,8.077075948407790728e-25
8.776737777777778149e+01,2.587482531669284952e-22
8.961093030303030105e+01,1.322118334195456614e-19
9.145448282828283482e+01,7.323924683044159400e-17
9.329803535353535437e+01,3.569244651567025669e-14
9.514158787878787393e+01,1.373546365908602590e-11
9.698514040404040770e+01,3.966861538714985594e-09
9.882869292929292726e+01,8.440300029535751621e-07
1.006722454545454468e+02,1.322671772912857775e-04
1.025157979797979806e+02,1.541487394271064647e-02
1.043593505050505144e+02,1.356055279381743528e+00
1.062029030303030339e+02,8.826828159892363601e+01
1.080464555555555535e+02,1.006406903116216967e+01
1.098900080808080872e+02,5.864801641048050795e-02
1.117335606060606068e+02,4.693898597942285046e-04
1.135771131313131264e+02,5.102723343022320958e-06
1.154206656565656601e+02,7.439194516541588077e-08
1.172642181818181939e+02,1.436646932101578461e-09
1.191077707070707135e+02,3.631521834445319609e-11
1.209513232323232330e+02,1.187730996657562266e-12
1.227948757575757668e+02,4.970144078531615409e-14
1.246384282828282863e+02,1.143457673789084421e-14
1.264819808080808059e+02,6.781094976253983946e-16
1.283255333333333397e+02,5.010271017422343350e-17
1.301690858585858734e+02,4.565667185793807140e-18
1.320126383838384072e+02,1.525600356901213174e-18
1.338561909090909126e+02,1.868376235445311574e-19
1.356997434343434463e+02,2.754536241339759611e-20
1.375432959595959801e+02,1.158535343991240434e-20
1.393868484848484854e+02,2.215861982239201002e-21
1.412304010101010192e+02,1.189339346671594908e-25
1.430739535353535530e+02,1.209591522954456128e-25
1.449175060606060583e+02,1.231781383509531340e-25
1.467610585858585921e+02,1.254491109167601271e-25
1.486046111111111259e+02,1.275983225641725446e-25
1.504481636363636312e+02,1.293949324248974969e-25
1.522917161616161650e+02,1.310037359801900346e-25
1.541352686868686988e+02,1.325070823518689272e-25
1.559788212121212041e+02,1.341166496308197571e-25
1.578223737373737663e+02,1.358157608310663552e-25
1.596659262626262716e+02,1.375374931666270658e-25
1.615094787878788054e+02,1.392694038033218158e-25
1.633530313131313392e+02,1.410066277107289952e-25
1.651965838383838445e+02,1.427467695931081679e-25
1.670401363636363783e+02,1.444942430881047193e-25
1.688836888888889121e+02,1.462482446149734165e-25
1.707272414141414174e+02,1.480073429321573834e-25
1.725707939393939512e+02,1.497773419725489338e-25
1.744143464646464849e+02,1.515566519846988122e-25
1.762578989898989903e+02,1.533433546097589575e-25
1.781014515151515241e+02,1.551432393715017235e-25
1.799450040404040578e+02,1.569541376709298806e-25
1.817885565656565632e+02,1.587764094675748840e-25
1.836321090909091254e+02,1.606078893568346807e-25
1.854756616161616307e+02,1.624537721159729793e-25
1.873192141414141361e+02,1.643117217662044521e-25
1.891627666666666983e+02,1.661818622826408125e-25
1.910063191919192036e+02,1.680643084519456986e-25
1.928498717171717374e+02,1.699569264663270430e-25
1.946934242424242711e+02,1.718642194460131599e-25
1.965369767676767765e+02,1.737839669081759494e-25
1.983805292929292818e+02,1.757161931767175951e-25
2.002240818181818440e+02,1.778902471584707878e-25
2.020676343434343494e+02,1.856648720993500627e-25
2.039111868686869116e+02,1.964528731466473008e-25
2.057547393939394169e+02,2.086961197353381788e-25
2.075982919191919223e+02,2.217500948745152639e-25
2.094418444444444845e+02,2.352468709664150066e-25
2.112853969696969898e+02,2.489588327347692074e-25
2.131289494949494951e+02,2.627357699833525680e-25
2.149725020202020573e+02,2.764638594151561765e-25
2.168160545454545627e+02,2.900084189317855690e-25
2.186596070707070680e+02,3.031256427414992082e-25
2.205031595959596302e+02,3.153566797338885820e-25
2.223467121212121356e+02,3.259433021065128120e-25
2.241902646464646409e+02,3.338904013388869009e-25
2.260338171717172031e+02,3.383090984442874732e-25
2.278773696969697085e+02,3.385542641545297466e-25
2.297209222222222706e+02,3.345007570052749753e-25
2.315644747474747760e+02,3.265933782492821228e-25
2.334080272727272813e+02,3.156727772354145368e-25
2.352515797979798435e+02,3.027680970921259978e-25
2.370951323232323489e+02,2.888386942817296892e-25
2.389386848484848542e+02,2.746252339721163354e-25
2.407822373737374164e+02,2.605294949823855211e-25
2.426257898989899218e+02,2.471290815473232739e-25
2.444693424242424271e+02,2.345972370815126307e-25
2.463128949494949893e+02,2.228827324054045222e-25
2.481564474747474947e+02,2.122322947651617758e-25
2.500000000000000000e+02,2.023691407417360423e-25
