# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,4.025379191127643866e-29
7.117540505050504862e+01,4.128699410470763792e-29
7.301895757575756818e+01,4.219446881198949581e-29
7.486251010101010195e+01,4.315276759004491375e-29
7.670606262626262151e+01,4.413955009631484236e-29
7.854961515151515528e+01,4.515764554898353125e-29
8.039316767676767483e+01,4.613718960111361744e-29
8.223672020202019439e+01,4.711811673394949579e-29
8.408027272727272816e+01,4.816360949062161803e-29
8.592382525252524772e+01,4.920477808383061286e-29
8.776737777777778149e+01,5.024902363077770614e-29
8.961093030303030105e+01,5.128490513863569693e-29
9.145448282828283482e+01,5.231467088632737559e-29
9.329803535353535437e+01,5.334697679441715756e-29
9.514158787878787393e+01,5.441060981156127199e-29
9.698514040404040770e+01,5.550666761624259367e-29
9.882869292929292726e+01,5.659216418055614870e-29
1.006722454545454468e+02,5.768031261955451904e-29
1.025157979797979806e+02,5.877314318801795675e-29
1.043593505050505144e+02,5.986651997654870874e-29
1.062029030303030339e+02,6.097000302240232589e-29
1.080464555555555535e+02,6.207493976582061616e-29
1.098900080808080872e+02,6.317004825681412014e-29
1.117335606060606068e+02,6.428008691014768969e-29
1.135771131313131264e+02,6.539178034458951259e-29
1.154206656565656601e+02,6.650441479625963567e-29
1.172642181818181939e+02,6.770636109198562388e-29
1.191077707070707135e+02,6.876254567052560169e-29
1.209513232323232330e+02,6.987111480594761691e-29
1.227948757575757668e+02,7.107227394222706085e-29
1.246384282828282863e+02,7.222838925418327383e-29
1.264819808080808059e+02,7.338597437265190145e-29
1.283255333333333397e+02,7.454993278637115660e-29
1.301690858585858734e+02,7.571987385595383738e-29
1.320126383838384072e+02,7.689154302446785069e-29
1.338561909090909126e+02,7.805846253529273535e-29
1.356997434343434463e+02,7.922873219415872325e-29
1.375432959595959801e+02,8.041244313079667549e-29
1.393868484848484854e+02,8.159679952779300841e-29
1.412304010101010192e+02,2.123223211734097794e-28
1.430739535353535530e+02,2.160802406368315578e-28
1.449175060606060583e+02,2.193654477575149154e-28
1.467610585858585921e+02,2.225665839823775121e-28
1.486046111111111259e+02,2.257495440833157520e-28
1.504481636363636312e+02,2.289288814278248334e-28
1.522917161616161650e+02,2.321082779805033839e-28
1.541352686868686988e+02,2.352893992768216014e-28
1.559788212121212041e+02,2.384778755225057175e-28
1.578223737373737663e+02,2.416748890063093716e-28
1.596659262626262716e+02,2.448774084689151194e-28
1.615094787878788054e+02,2.481009561778831410e-28
1.633530313131313392e+02,2.512960261192518609e-28
1.651965838383838445e+02,2.545285964024640051e-28
1.670401363636363783e+02,2.577629144103575903e-28
1.688836888888889121e+02,2.610052410368294805e-28
1.707272414141414174e+02,2.642550291873062710e-28
1.725707939393939512e+02,2.675119825579188680e-28
1.744143464646464849e+02,2.707800509408169437e-28
1.762578989898989903e+02,2.740594720735691669e-28
1.781014515151515241e+02,2.773423435869141010e-28
1.799450040404040578e+02,2.806364234974282683e-28
1.817885565656565632e+02,2.839378207347594673e-28
1.836321090909091254e+02,2.872493280934513128e-28
1.854756616161616307e+02,2.905662863360201244e-28
1.873192141414141361e+02,2.938874543299990004e-28
1.891627666666666983e+02,2.972265812546570354e-28
1.910063191919192036e+02,3.005729354370895155e-28
1.928498717171717374e+02,3.039237779796312173e-28
1.946934242424242711e+02,3.072835131134133707e-28
1.965369767676767765e+02,3.106518603717263069e-28
1.983805292929292818e+02,3.140299295924059215e-28
2.002240818181818440e+02,3.174133201805511319e-28
2.020676343434343494e+02,3.208065828432371295e-28
2.039111868686869116e+02,3.242080329482932607e-28
2.057547393939394169e+02,3.276169608986587041e-28
2.075982919191919223e+02,3.310322108625292966e-28
2.094418444444444845e+02,3.344576111181395084e-28
2.112853969696969898e+02,3.378870228630642070e-28
2.131289494949494951e+02,3.413286527886470549e-28
2.149725020202020573e+02,3.447782537611063861e-28
2.168160545454545627e+02,3.482365094693277186e-28
2.186596070707070680e+02,3.516986082358091691e-28
2.205031595959596302e+02,3.551742281651671349e-28
2.223467121212121356e+02,3.586567751609106303e-28
2.241902646464646409e+02,3.621379786833431542e-28
2.260338171717172031e+02,3.656350031565017662e-28
2.278773696969697085e+02,3.691397751679569185e-28
2.297209222222222706e+02,3.726505203011846013e-28
2.315644747474747760e+02,3.761724940489470351e-28
2.334080272727272813e+02,3.796949274209656429e-28
2.352515797979798435e+02,3.832032035937155104e-28
2.370951323232323489e+02,3.867776032844892582e-28
2.389386848484848542e+02,3.903267314359323323e-28
2.407822373737374164e+02,3.938794261708389598e-28
2.426257898989899218e+02,3.974437216111256501e-28
2.444693424242424271e+02,4.010138549720893398e-28
2.463128949494949893e+02,4.045946057261214729e-28
2.481564474747474947e+02,4.081391931206633528e-28
2.500000000000000000e+02,4.117811710053130298e-28
