# Columns: mx (MeV), f_eff
6.748829999999999529e+01,0.000000000000000000e+00
6.933185252525251485e+01,7.061709763395094264e-01
7.117540505050504862e+01,7.068065065889521659e-01
7.301895757575756818e+01,7.095188883513998679e-01
7.486251010101010195e+01,7.112783456441615915e-01
7.670606262626262151e+01,7.125012739854217347e-01
7.854961515151515528e+01,7.131758491967288283e-01
8.039316767676767483e+01,7.144171336062298261e-01
8.223672020202019439e+01,7.155858005363465724e-01
8.408027272727272816e+01,7.157460203412362443e-01
8.592382525252524772e+01,7.159623460452516630e-01
8.776737777777778149e+01,7.161258525797140617e-01
8.961093030303030105e+01,7.163995199937267522e-01
9.145448282828283482e+01,7.167461311392051559e-01
9.329803535353535437e+01,7.170452159334480546e-01
9.514158787878787393e+01,7.169199383245016266e-01
9.698514040404040770e+01,7.163807389874847775e-01
9.882869292929292726e+01,7.159960161928533573e-01
1.006722454545454468e+02,7.155928732322881514e-01
1.025157979797979806e+02,7.151476829690146531e-01
1.043593505050505144e+02,7.147122251941757654e-01
1.062029030303030339e+02,7.141739885829607726e-01
1.080464555555555535e+02,7.136381758064868075e-01
1.098900080808080872e+02,7.132320546909075576e-01
1.117335606060606068e+02,7.126742051939082279e-01
1.135771131313131264e+02,7.121172743493178192e-01
1.154206656565656601e+02,7.115688945488389816e-01
1.172642181818181939e+02,7.101006268705890578e-01
1.191077707070707135e+02,7.101858361074506742e-01
1.209513232323232330e+02,7.097359568825898357e-01
1.227948757575757668e+02,7.083760834996081224e-01
1.246384282828282863e+02,7.075023563951332584e-01
1.264819808080808059e+02,7.066420058413565020e-01
1.283255333333333397e+02,7.057480362515523575e-01
1.301690858585858734e+02,7.048258598997096946e-01
1.320126383838384072e+02,7.039159263607237538e-01
1.338561909090909126e+02,7.030760854137216853e-01
1.356997434343434463e+02,7.022312899282103782e-01
1.375432959595959801e+02,7.012938439354148290e-01
1.393868484848484854e+02,7.003780566089758963e-01
1.412304010101010192e+02,2.727196278475552127e-01
1.430739535353535530e+02,2.714747113230311371e-01
1.449175060606060583e+02,2.708547681151988740e-01
1.467610585858585921e+02,2.703552031196486682e-01
1.486046111111111259e+02,2.698915331278336494e-01
1.504481636363636312e+02,2.694450202446664333e-01
1.522917161616161650e+02,2.690106710950973534e-01
1.541352686868686988e+02,2.685860916635081086e-01
1.559788212121212041e+02,2.681645689641111163e-01
1.578223737373737663e+02,2.677447106663776721e-01
1.596659262626262716e+02,2.673298046438068454e-01
1.615094787878788054e+02,2.669029870870500143e-01
1.633530313131313392e+02,2.665173177334733134e-01
1.651965838383838445e+02,2.661021210624241462e-01
1.670401363636363783e+02,2.656955367910712185e-01
1.688836888888889121e+02,2.652908890617791116e-01
1.707272414141414174e+02,2.648886917878965352e-01
1.725707939393939512e+02,2.644891822736673004e-01
1.744143464646464849e+02,2.640884430076963496e-01
1.762578989898989903e+02,2.636863380020647574e-01
1.781014515151515241e+02,2.632904668533907477e-01
1.799450040404040578e+02,2.628933576658190052e-01
1.817885565656565632e+02,2.624986977749064199e-01
1.836321090909091254e+02,2.621038845486133861e-01
1.854756616161616307e+02,2.617131609504255163e-01
1.873192141414141361e+02,2.613275138711500523e-01
1.891627666666666983e+02,2.609347185771533351e-01
1.910063191919192036e+02,2.605443858569822524e-01
1.928498717171717374e+02,2.601588066904706453e-01
1.946934242424242711e+02,2.597741191208396416e-01
1.965369767676767765e+02,2.593905614417540417e-01
1.983805292929292818e+02,2.590072134706102869e-01
2.002240818181818440e+02,2.594183479547752524e-01
2.020676343434343494e+02,2.781650169039880938e-01
2.039111868686869116e+02,3.041076929324232903e-01
2.057547393939394169e+02,3.309958811227026731e-01
2.075982919191919223e+02,3.566468969373236542e-01
2.094418444444444845e+02,3.802335811557447931e-01
2.112853969696969898e+02,4.015378040853679886e-01
2.131289494949494951e+02,4.206086377447021407e-01
2.149725020202020573e+02,4.376008136355306055e-01
2.168160545454545627e+02,4.527780996146635317e-01
2.186596070707070680e+02,4.662483286987627595e-01
2.205031595959596302e+02,4.783652683414756357e-01
2.223467121212121356e+02,4.891683547968367352e-01
2.241902646464646409e+02,4.987876755832472142e-01
2.260338171717172031e+02,5.075422474023191244e-01
2.278773696969697085e+02,5.153332814036281073e-01
2.297209222222222706e+02,5.224182748789971686e-01
2.315644747474747760e+02,5.288421801083059703e-01
2.334080272727272813e+02,5.346506868057757655e-01
2.352515797979798435e+02,5.399623185915826129e-01
2.370951323232323489e+02,5.449949660845976318e-01
2.389386848484848542e+02,5.491043261488920413e-01
2.407822373737374164e+02,5.530293988742239764e-01
2.426257898989899218e+02,5.568772468238547546e-01
2.444693424242424271e+02,5.601132400818459312e-01
2.463128949494949893e+02,5.631009962863928742e-01
2.481564474747474947e+02,5.659868681878058583e-01
2.500000000000000000e+02,5.686264401604079755e-01
